2xthinclientserver                       2X Software                                             geoffrey@2x.com
3dwm-server                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
acct                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
acpid                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
acquire                                  Acquired Intelligence Inc.                              mike@aiinc.ca
adjtimex                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
afs                                      DeanSoft Co.,Ltd.                                       michael@deansoft.com.tw
aime                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
alamin-server                            Reserved for LSB-Compliant Distributions                lsb@lanana.org
alkahest                                 Alkahest by the Alkahest Initiative                     eric_windham@ncsu.edu
allianz                                  Allianz Insurance                                       rainer.brunold@allianz.at
allris                                   ALLRIS by CC e-gov GmbH                                 support@cc-egov.de
alsa                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
amavis                                   AMaViS Development Team                                 amavis@amavis.org
amavisd                                  AMaViS Development Team                                 amavis@amavis.org
amavis-postfix                           Reserved for LSB-Compliant Distributions                lsb@lanana.org
am-utils                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
anacron                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
and                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
apache                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
apache-perl                              Reserved for LSB-Compliant Distributions                lsb@lanana.org
apache-ssl                               Reserved for LSB-Compliant Distributions                lsb@lanana.org
apcd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
apcupsd                                  Reserved for LSB-Compliant Distributions                lsb@lanana.org
apmd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
aprsd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
argus                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
arkeia                                   Arkeia Corporation                                      aspicht@arkeia.com
arla                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
armtech                                  Aurema Pty Ltd                                          vickyo@aurema.com
arpd                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
arpwatch                                 Reserved for LSB-Compliant Distributions                lsb@lanana.org
asdis                                    ASDIS Software AG                                       support@asdis.de
aspera                                   Aspera, Inc.                                            serban@asperasoft.com
atd                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
atftpd                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
atm                                      Reserved for LSB-Compliant Distributions                lsb@lanana.org
atokx                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
aumix                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
aumix-gtk                                Reserved for LSB-Compliant Distributions                lsb@lanana.org
autofs                                   Reserved for LSB-Compliant Distributions                lsb@lanana.org
backupexpress                            Backup Express by Syncsort, Inc.                        klieberman@syncsort.com
bayonne                                  Open Source Telecom Corp                                dyfet@ostel.com
bind                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
bind9                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
binfmt-support                           Reserved for LSB-Compliant Distributions                lsb@lanana.org
binkd                                    Reserved for LSB-Compliant Distributions                lsb@lanana.org
bird                                     Reserved for LSB-Compliant Distributions                lsb@lanana.org
